" Defektu tankis Ndef",100," [i kvadratini mikrometra]"
" Defektu skaicius N",10,""
" Heksagono krastine a",196.1887304255141," [nm]"
" Buferio zonos plotis",28.482060646876608," [nm]"
"","",""
""," x koordinate [nm]"," y koordinate [nm]"
" Heksagono kampas Nr. 1",392.3774608510282,196.1887304255141
" Heksagono kampas Nr. 2",294.2830956382712,366.0931549102263
" Heksagono kampas Nr. 3",98.0943652127571,366.09315491022636
" Heksagono kampas Nr. 4",0,196.18873042551414
" Heksagono kampas Nr. 5",98.09436521275697,26.284305940801914
" Heksagono kampas Nr. 6",294.28309563827105,26.2843059408018
"","",""
" Heksagono centras",196.1887304255141,196.1887304255141
"","",""
" Defekto centro x koordinate [m]"," Defekto centro y koordinate [m]"," Defekto spindulys r [m]"
3.0885162281682756e-7,1.423598916155454e-7,1.e-8
2.2589031850299888e-7,1.2477769445860633e-7,1.e-8
2.72487560476613e-7,2.46779492621676e-7,1.e-8
1.499089396410242e-7,1.481927979331696e-7,1.e-8
3.439765504018216e-7,2.653302064628606e-7,1.e-8
2.0104325366507569e-7,2.8059848670493785e-7,1.e-8
1.981373230199969e-7,2.9894835504296556e-7,1.e-8
8.562077306692329e-8,2.6235767830667794e-7,1.e-8
1.1023516739163728e-7,7.941881414417577e-8,1.e-8
